time,open,high,low,close,Volume,OnBalanceVolume
2023-08-26T22:00:00-05:00,26000.05,26022.88,26000.05,26021.96,453.1412,378931.3837610004
2023-08-26T23:00:00-05:00,26021.96,26038.27,26021.96,26037.81,223.8968,379155.2805610004
2023-08-27T00:00:00-05:00,26037.82,26044.98,26029.88,26033.52,335.40364,378819.8769210004
2023-08-27T01:00:00-05:00,26033.52,26050,26024.46,26045.97,457.0204,379276.8973210004
2023-08-27T02:00:00-05:00,26045.98,26055.54,26043.61,26043.61,519.73665,378757.1606710004
2023-08-27T03:00:00-05:00,26043.61,26068.33,26033.78,26063.09,675.78165,379432.94232100045
2023-08-27T04:00:00-05:00,26063.1,26078.13,26050.73,26078.13,644.49339,380077.43571100046
2023-08-27T05:00:00-05:00,26078.12,26095.6,26076.83,26082.77,700.00749,380777.44320100045
2023-08-27T06:00:00-05:00,26082.78,26082.78,26057.25,26060.44,345.66959,380431.77361100045
2023-08-27T07:00:00-05:00,26060.44,26071.91,26052.8,26071.66,292.19121,380723.96482100047
2023-08-27T08:00:00-05:00,26071.67,26090.26,26066.56,26079.99,301.249,381025.2138210005
2023-08-27T09:00:00-05:00,26079.99,26182.23,26079.98,26145.28,1219.44221,382244.6560310005
2023-08-27T10:00:00-05:00,26145.27,26167.52,26115.77,26122.15,764.5953,381480.0607310005
2023-08-27T11:00:00-05:00,26122.14,26166.09,26122.14,26166.08,782.82489,382262.8856210005
2023-08-27T12:00:00-05:00,26166.08,26179,26044.3,26065.08,693.67664,381569.20898100047
2023-08-27T13:00:00-05:00,26065.08,26111.95,26037.27,26104.12,536.08814,382105.2971210005
2023-08-27T14:00:00-05:00,26104.13,26164.29,26096.3,26125.49,517.47737,382622.77449100045
2023-08-27T15:00:00-05:00,26125.48,26128.1,26082.72,26091.49,265.81451,382356.95998100046
2023-08-27T16:00:00-05:00,26091.5,26133.71,26040.17,26067.86,326.13381,382030.82617100043
2023-08-27T17:00:00-05:00,26067.87,26090.28,26045.35,26089.29,315.81239,382346.6385610004
2023-08-27T18:00:00-05:00,26089.29,26109,26083.86,26101.77,225.17605,382571.8146110004
2023-08-27T19:00:00-05:00,26101.78,26105,25986.41,26023.51,1227.4471,381344.3675110004
2023-08-27T20:00:00-05:00,26023.51,26063.39,25993.58,26028.01,857.51904,382201.8865510004
2023-08-27T21:00:00-05:00,26028.02,26056.93,26019.53,26030.5,481.96317,382683.8497210004
2023-08-27T22:00:00-05:00,26030.49,26050.75,26012.98,26012.98,742.29889,381941.55083100044
2023-08-27T23:00:00-05:00,26012.98,26038.83,26009.37,26026.61,514.7467,382456.29753100045
2023-08-28T00:00:00-05:00,26026.62,26031.72,25872.05,25963.02,1890.77226,380565.52527100046
2023-08-28T01:00:00-05:00,25963.01,25987.67,25926.37,25946.26,618.45986,379947.06541100045
2023-08-28T02:00:00-05:00,25946.26,25949.72,25887.91,25934.12,741.38074,379205.68467100046
2023-08-28T03:00:00-05:00,25934.13,25987.19,25922.27,25969.72,892.43587,380098.12054100045
2023-08-28T04:00:00-05:00,25969.71,25970.89,25864.5,25931.54,1250.231,378847.8895410004
2023-08-28T05:00:00-05:00,25931.55,25968.69,25912.75,25953.45,434.79643,379282.6859710004
2023-08-28T06:00:00-05:00,25953.45,26004,25945.84,26000.99,498.19778,379780.8837510004
2023-08-28T07:00:00-05:00,26000.99,26253.99,25991.44,26136.55,3335.71372,383116.5974710004
2023-08-28T08:00:00-05:00,26136.54,26163.62,26090,26101.31,1021.22728,382095.3701910004
2023-08-28T09:00:00-05:00,26101.3,26159.04,26080.6,26139.61,785.24864,382880.6188310004
2023-08-28T10:00:00-05:00,26139.62,26190,26044.11,26104.17,1144.84005,381735.7787810004
2023-08-28T11:00:00-05:00,26104.16,26160,26095.88,26146.92,691.13291,382426.9116910004
2023-08-28T12:00:00-05:00,26146.91,26191.79,26135.75,26141.79,708.83772,381718.0739710004
2023-08-28T13:00:00-05:00,26141.79,26148.91,26100,26148.91,557.95259,382276.0265610004
2023-08-28T14:00:00-05:00,26148.91,26155,25918,25996.26,1719.05245,380556.97411100037
2023-08-28T15:00:00-05:00,25996.27,26023.74,25972.95,25993.03,486.8159,380070.1582110004
2023-08-28T16:00:00-05:00,25993.04,26010.68,25946.18,25982.67,561.93527,379508.22294100036
2023-08-28T17:00:00-05:00,25982.68,26067.53,25981.73,26061.41,604.48365,380112.7065910004
